comment,label
enka bgt d muka..ringan bgt.. klq o..y brasa bratx... klq ini gk sm skli,1
Pakai krim malam dan pagi doang baru seminggu dah berasa banget efeknya... Muka cerah halus gak berminyak agak kenceng muka. Warna kulitku kuning langsat. Sebelum pakai kusem banget dan kasap gt. Setelah pakai ini muka segeran cerah.,1
Make up natural begitu malah lebih cantik ??,1
kakak lipstiknya pake apa bagus bangttt??,1
Cantik bgt kmu beb tanpa makeup.. heheh  ak lbh suka kmu g pke apa2 .. ?,1
Aku udah 3 hari pake eye serum sebelum tidur malam dan hasilnya memang bagus banget ???? lingkar mataku yg hitam bawaan dari lahir jadi memudar dan area sekitar mata jadi kelihatan cerah dan kenceng kulitnya ????,1
Aku juga pakai produk ini lengkap dgn eye serumnya...  Emng worth it sih manfaat dan harganya..  Apalgi untuk anti aging. Kulit itu jadi kenceng bgt  kerutan halus perlahan memudar  eye bag juga perlahan menghilang  lbih cerah  bintik hitam memudar...  Seriusan!!  Gk bhong ??,1
mukanya bagusan banget kak,1
Mukanya kak tasya kok kyk mudaan ya? kyk waktu awal awal nge youtube,1
Why u look so beautiful??,1
Makaaacii Reviewnya kak Tasya cantiik.. ????,1
"Fokus ke muka ka tasya:(
Cantik banget:(",1
Wardah...??????,1
"Awalnya ga expect ketinggian 
Jujurrr gue make 2 hari ajaa berubah woi 
Glowing kenyal cerah 
oil serumnya itu sengaruh itu gila 
Mudarin bekas jerawat yang udah item gue 
Padahal cuma pake 2 item nya aja
Apalagi pake semuaaa",1
"Yeyy?? akhirnya.. yg di tunggu"" terima kasih ka sudah ngreview crystallure ?? Iyya betul ituh crystallure by Wardah ka?? jadi dia bkal berdiri dengan brand sendiri jadi aku sebagai BA Wardah juga harus sering menawarkan produk baru ini iya sihh menang dia aga mahal tapi emg bner"" bagus bngtt?? aku pas training kemarin juga udah nyobain?? super duper bagus ?? oh iya 2 Minggu yg lalu juga ka Tasya datang ke counter aku di Central Park pas launching crystallure pertama di counter aku ??",1
"Kaaakkk idungnya kecil banget :"" lucuuuu",1
Wadah yang biasa aja lah lebih murah wkwk,1
Kak tasya mulus banget,1
"Dari pertama nonton udah mikir     "" ini cuma perasaan gue doang atau emang kulitnya kak tasya jadi makin putih mulus pake bgt "" plis ampe resolusi gue tingkatin yang max dan ttp mulus  bgt",1
Pas di zoom kaga keliatan pori�nya ya ampun????,1
Maa syaa Allah dari dulu eng cinta debgan produk wardah karena produk wardah belum ada yang abal2nya jugakan terus ingrediens produknya juga bagus dan halal tentunya. dan sekarang fix mau belik 4 item itu,1
Ka tasya rambutnya cakepan kek gini???,1
Omaygad rambutnya bagus betdhhh,1
"Udah cantik ..baik ..msyallh kak 
Maf telt .. komen nya .. yg pntinh hdir ya krna aku kmren lagi ga fit .. kak boleh mnta stiker luv nya biar aku cpt smbuh and smngt like amd komen nya",1
Kak tasya farasya jadi dokter kecantikan tanpa gelar aja kak kalau kwkks,1
"Baru mulai nnton udah deg""an. ""aduh takut keracunan nih pokoknya stiap kak tasya bahas skincare pasti pengen beli"" ??",1
"Kak cobain skincare nya b Erl donk 
Soal nya belum ada yg review",1
semoga uangku cocok untuuk beli ini,1
Kak tasya kok mirip nancy momoland saya suka deh liatnya??,1
Cuma ka tasya beauty blogger yang aku percaya. Banyak produk yang aku beli dari hasil review ka tasya ??luvv,1
"MashaAllah.. Bagus ya harganya?? kapan ya bisa beli tuh produk bagus ?? 
Semoga bisa beli??
Tanpa makeup Km natural bgt.. ??",1
Wardah maniaaaa..�......??,1
Lipstick yg dpake ka tasya sekarang apa yaa bagus bgt ????,1
nanccyy???????????????,1
"Satu satunya Youtuber atau selebgram yang aku percaya buat review produk; TASYA FARASYA??
Alasannya cuma satu; jujur. Nggak akan kasih yang kw atau kalau nggak bagus ya bilang nggak bagus.",1
Binggung semua di bilang bagus jadi pake yg mana sebenarnya?,1
Yang cinta produk indonesia mana suaranyaaa,1
Walaupun ga makeup tetep cantik natural??,1
Entah kenapa klo lagi badmood mumet stress bnyk msalah capek buka youtube nonton kak tasya my mood tu langsung stabil dan lebih tenang. Thankyou kak tasya??,1
Bener banget ka tasya kulitnya lebih cerahbgt dari tadi salfok kesitu mulu ??,1
Kalo umurnya masih 14 thn gitu emang bisa ka pake serum?,1
