,DecisionValue
D1,-0.0012311438965293354
D2,-0.011987408146579729
D3,-0.002651045799901536
D4,-0.006279815422329858
D5,0.0010901052342669154
D6,-0.009047920398513432
D7,-0.00731048300463711
D8,-0.006769800662894733
D9,-0.007132255596591287
D10,0.004965006478550228
D11,0.0031105271573995973
D12,0.0028108354636323185
D13,0.0007480804580661697
D14,-0.01146546108326375
D15,-0.007542493162054234
D16,-0.00032521499099690486
D17,-0.004074438362092033
D18,0.0004095480402353663
D19,-0.005532744276978708
D20,-0.004712320620291167
D21,-0.0015838307588646446
D22,0.003708041963563492
D23,0.006014925564804257
D24,-0.00648926236751541
D25,-0.0026100930247174147
D26,-0.00784810488225069
D27,-0.006464766016252614
D28,-0.008820607397728226
D29,-0.003295230818248386
D30,-0.01152470203792428
D31,-0.0014358308558426942
D32,0.0025410759897564112
D33,-0.0028319099759999814
D34,0.008702919910857193
D35,-0.00546152996252427
D36,-0.010726288984509134
D37,0.00018877697746227462
D38,-0.00025367185526416365
D39,-0.0017918654258290362
D40,-0.0022632939361695616
D41,-0.009172512053048587
D42,-0.008277270792532404
D43,-0.009863783292322105
D44,-0.005024452835102952
D45,0.002442142875522902
D46,-0.004051219202139116
D47,-0.0004502330002803131
D48,-0.0016042970585760782
D49,-0.010861952422217427
D50,-0.004150398543012133
D51,-0.0075883780989402065
D52,-0.004813512529176057
D53,-0.008033250024016135
D54,-0.013055189223285461
D55,0.0036292869190509775
D56,-0.0005343981399255399
D57,-0.0036021440517044726
D58,-0.002258075873808288
D59,0.004574793117546355
D60,-0.0016091310891789014
D61,-0.010183737103524337
D62,-0.001580430589673596
D63,-0.005182666727603155
D64,-0.0023370868368370406
D65,-0.0047295063979342165
D66,0.0014733628095093569
D67,-0.006991469392653151
D68,-0.004415735726758704
D69,0.006089314953672973
D70,-0.0007998675626619699
D71,-0.009171258660773451
D72,-0.004073285339896918
D73,-0.0023405124219368434
D74,0.00606000765969596
D75,0.003182256583254181
D76,-0.00541388284402209
D77,0.00303354196822093
D78,0.002281936914523968
D79,-0.004481787745461393
D80,-0.007096934853443443
D81,-0.009180147671177927
D82,-0.0018455861616607366
D83,-0.005971762535785843
D84,0.003048321315160585
D85,-0.010441224692832568
D86,-0.00577494484385342
D87,-0.022292876192824586
D88,-0.01706420721847894
D89,-0.012386867427485359
D90,-0.0004617792965093716
D91,0.002282053320606771
D92,0.003320044246428783
D93,-0.010616478807879524
D94,-0.01511684245995033
D95,-0.009348946184769504
D96,-0.014349581017601701
D97,-0.009632949630982693
D98,-0.0031170757206489827
D99,-0.018292809865530252
D100,-0.010071265562183577
D101,-0.008375394821450487
D102,-0.013717468366018414
D103,-0.006731436396897892
D104,-0.00040326279824725404
D105,-0.012026636819022943
D106,-0.010423728088234639
D107,-0.013228111303224082
D108,-0.012764200039847559
D109,-0.007264393999162482
D110,-0.015933331046214687
D111,-0.012873386338677337
D112,-0.0045514359761076395
D113,0.01858070278464624
D114,-0.008459007676881642
D115,-0.017163943779730073
D116,-0.011059126586224838
D117,-0.01628220566742772
D118,-0.009209100381875146
D119,-0.0012232149992404085
D120,-0.005273049578618893
D121,-0.005861752712527559
D122,-0.008308634060405173
D123,-0.004423630565791448
D124,-0.006887107963770543
D125,-0.005610172474453352
D126,-0.007667542153279385
D127,-0.012565596979280065
D128,-0.0011153957235994095
D129,-0.009942290197162302
D130,-0.019714038762633043
D131,-0.004283621026834905
D132,-0.0015308922246709995
D133,-0.011474064695508197
D134,-0.008844410173045578
D135,-0.0038094404061420825
D136,0.004556830927809629
D137,-0.0026318826365462353
D138,-0.01196210963761963
D139,0.0018368572608041477
D140,-0.01251078676564991
D141,-0.005953566019561785
D142,-0.00899004388296073
D143,0.012908881673482647
D144,-0.006057723542421894
D145,-0.008274438637468847
D146,-0.017397629092926793
D147,0.0014234788674721093
D148,0.01079736105474881
D149,-0.011537331166083045
D150,-0.016976877901651845
D151,-0.002961414646627682
D152,-0.011190991563564501
D153,0.0020615275798134018
D154,-0.0003913940424293101
D155,-0.020270474045367956
D156,0.006513343082593035
D157,-0.0033682960858845284
D158,-0.00495668085972969
D159,-0.008280908831258423
D160,-0.00725589169285327
D161,-0.004551521994613563
D162,-0.010747393809945821
D163,-0.010686727746558204
D164,-0.0007138634343142274
D165,-0.004002452625154797
D166,-0.006691779540554543
D167,-0.00964668618637341
D168,-0.005026943618451395
D169,-0.011682964950582568
D170,-0.00485235121900362
D171,-0.004439010729408476
D172,-0.01046539257481597
D173,-0.004679604152639849
D174,-0.007545073072398199
D175,0.0014106550066066374
D176,0.024600170152741525
D177,-0.00716152086060551
D178,0.0018432603311853372
D179,0.003408064987594225
D180,0.0005093183967234823
D181,-0.003919838149945239
D182,0.029772871293094146
D183,0.0012270613163478468
D184,0.0017325418812943036
D185,-0.0025407156501663073
D186,-0.002718025394112409
D187,-0.0009307766713270423
D188,-0.0009490290632899936
D189,-0.006010547136754973
D190,-0.01067990949005649
D191,0.0020895840275880068
D192,0.02499688223040243
D193,-0.0063356572343665225
D194,-0.004017330027822558
D195,-0.0006117253656006866
D196,0.008473315897940452
D197,0.009169096100499537
D198,-0.003871215661514847
D199,-0.0018324084673278344
D200,0.007976430795027778
D201,-0.005243437660649067
D202,-0.0018326664601467603
D203,0.004283064457481421
D204,0.001094683202375025
D205,0.0025403095274759728
D206,-0.011892766473185084
D207,-0.004960487030593963
D208,0.012031483838581143
D209,-0.004176392849381771
D210,0.008065559353034008
D211,0.016776599615812498
D212,0.0008213912377328747
D213,0.006226845652578436
D214,0.008572403975677491
D215,0.0003210841829379674
D216,-0.007554312373235984
D217,-0.015969088389438685
D218,-0.004896953799716355
D219,0.007159905225083996
D220,0.01675765284990111
D221,0.0020134758861791893
D222,0.0018092707403198887
D223,-0.0021175013073243673
D224,0.0032807256170338623
D225,0.012882974233274882
D226,-0.00482380238086212
D227,0.0047761185355182055
D228,-0.0020332885344885032
D229,0.005960707319045286
D230,0.004998863143810452
D231,-0.005273656538467236
D232,-0.0050116335229083275
D233,0.008409743347993263
D234,0.006788710872287258
D235,0.017721416804134096
D236,-0.0048737288404653535
D237,0.00596114622401959
D238,0.004155960879376053
D239,-0.0008661989976310905
D240,-0.004099107321854208
D241,-0.0027021016475076115
D242,0.0011498433681069809
D243,-0.0064560253510208745
D244,-0.0007490940387537128
D245,0.0008250955558522216
D246,-0.000512498164470835
D247,-0.004170518203151502
D248,-0.0024605238672762626
D249,0.009081521377960243
D250,0.003945067905941089
D251,-0.015531866737642485
D252,-0.0005916785776964209
D253,-0.006739093145703422
D254,-0.003715668897738942
D255,-0.0049301060326444315
D256,0.005346450267011947
D257,-0.00526562895485828
D258,0.0026153804928382048
D259,-0.009791827262302146
D260,0.007869962006222316
D261,-0.01093555129156468
D262,0.0006681529321504252
D263,-0.00418259898927583
D264,-0.0019258941546822705
D265,-0.0074389425898395475
D266,-0.007619325628001411
D267,-0.002889477400917586
D268,0.0013345259881041196
D269,-0.0015571597066730467
D270,-0.01616323073386946
D271,-0.00910393472556637
D272,0.008753214874343072
D273,0.009878818591148308
D274,-0.009568615630011075
D275,-0.012098936961076771
D276,-0.00020263415767749794
D277,0.00725718174574906
D278,0.01725654489941001
D279,0.0018260097979371508
D280,-0.0019957900804439465
D281,-0.005237858754545913
D282,0.005457952699053267
D283,-0.00035336125487928603
D284,0.02187023047605417
D285,0.01821589364314074
D286,-0.004339145117108587
D287,-0.0021536586717888274
D288,0.006321836232335471
D289,0.017559122270401406
D290,-0.0038242609868996357
D291,-0.0084898267053643
D292,0.002127560890273374
D293,0.001215515050395151
D294,0.006747527209812722
D295,0.0018963528376142722
D296,-0.0019063126666883736
D297,0.01803293014906823
D298,0.01476393372720505
D299,-0.0022049863595294357
D300,-0.0024026703702189254
D301,0.0007632099062890666
D302,-0.005697542367088876
D303,-0.0012265544844534204
D304,-0.002394295898055945
D305,0.0018882688350525733
D306,0.017957987982458457
D307,0.008217255469309683
D308,0.01290293385759839
D309,-0.005862270783423108
D310,-0.0006797753545671739
D311,0.0018944930540488179
D312,0.012902750290727183
D313,0.004488374245957896
D314,0.01271982125946859
D315,-0.002884388125298018
D316,0.0061857175294712935
D317,0.0060794486456382454
D318,0.0008276385505725124
D319,0.003735641057697133
D320,-0.0039059070966079865
D321,-0.002723601354140857
D322,-0.001186041331521663
D323,0.015521673896795955
D324,-0.0030270053302078196
D325,0.017559122270401406
D326,0.0014505546175436498
D327,0.007313497698927622
D328,0.00995431370072235
D329,-0.0018375044558026521
D330,0.002906147219111467
D331,-0.009398384923782137
D332,-0.0035188509965622342
D333,0.009884957763847456
D334,-0.010143703966956484
D335,0.0007841210315299892
D336,0.0013108531385631291
D337,-0.0011168263803125779
D338,-0.003337370274145152
D339,0.014587579288137087
D340,0.006161516012290832
D341,0.005132703906774871
D342,-0.0008595361390967181
D343,0.0019893675385594485
D344,-0.0003342587152347389
D345,-0.0010462910619909627
D346,0.005879031790181494
D347,-0.0012874356696056235
D348,0.0016276286931384467
D349,0.006368554802593863
D350,-0.0023118495599841775
D351,-0.007984347363575619
D352,-0.001291377285760396
D353,0.01402921706930662
D354,-0.004936379415849068
D355,-0.002302415532556029
D356,-0.007213585538136
D357,0.0024733032997886813
D358,0.00828543096681582
D359,0.00010003650732006743
D360,-0.00016123710051729918
D361,-0.003926831366905463
D362,0.018373710723129297
D363,0.008636161871819965
D364,0.007148335230168845
D365,-0.0014983885838978001
D366,-0.006350003038323816
D367,-0.00820690554218298
D368,-0.006635032791485216
D369,-0.007749524359778541
D370,-0.0016107881836346601
D371,-0.014101313532745262
D372,-0.001832360582538391
D373,0.01164158175944818
D374,-0.010466417542293037
D375,0.009865603682899333
D376,-0.005086988185547865
D377,0.010671182922361298
D378,0.002402063502293051
D379,-0.0038577893839200385
D380,-0.006356759364810371
D381,-0.009295921035311565
D382,-0.0041004421362495404
D383,-0.0006020039964210374
D384,-0.0019317892311278872
D385,-0.0040259083001463495
D386,-0.0006042788600317736
D387,-0.0024940043410029223
D388,-0.005203902800075608
D389,-0.022600730814403086
D390,-0.007040668368302996
D391,-0.0071718767912395355
D392,-0.006472241245250084
D393,-0.0043181526094091946
D394,-0.007069685502743466
D395,0.002586245473432616
D396,-0.00010226800539675247
D397,-0.006575002057872221
D398,-0.003645756106461872
D399,-0.0008789587803021805
D400,-0.008802965137345766
D401,-0.006050254058132887
D402,-0.006248269937859748
D403,0.006484623326244432
D404,-0.008259805192991151
D405,-0.00781916343690633
D406,0.003909752929835499
D407,-0.005568453256958656
D408,-0.01337195510921683
D409,-0.00538112740137062
D410,-0.005039975094165365
D411,-0.003142664833673837
D412,0.0015056531936807832
D413,-0.002045348133991115
D414,-0.0011689630555769622
D415,-0.0013433651590282663
D416,0.0011346099060206213
D417,-0.008765514179120176
D418,-0.009036900177540469
D419,0.0031983415995091276
D420,0.014637352893949225
D421,0.00945973543654767
D422,0.007760838507106424
D423,-0.013148463074938114
D424,0.0010715837188093372
D425,-0.0004095414776713471
D426,-0.013265821376111668
D427,-0.010252918566540255
D428,-0.003389591656088627
D429,-0.013065613097463569
D430,-0.0013757831568920018
D431,-0.019801801552936128
D432,-0.012655581710280967
D433,-0.005565708103514026
D434,0.0010639660150726167
D435,-0.009522493672557962
D436,-0.004373617405700638
D437,-0.00829595327358276
D438,-0.0044083462314523465
D439,-0.0020249433291458785
D440,-0.011778304532352402
D441,0.004286444197359307
D442,-0.004694621055596032
D443,0.0008837384653683758
D444,0.009953822796812131
D445,0.0006664773242961895
D446,0.003008904790806546
D447,-0.0011744539594640288
D448,-0.005630550969626627
D449,-0.014112315253181863
D450,0.008552813048549721
D451,-0.009243631452873914
D452,-0.007131173756958196
D453,-0.006218789342916611
D454,0.0012148117563007283
D455,-0.006711934922637336
D456,-0.0024274876780813115
D457,-0.006508223810345081
D458,0.006006732166489804
D459,-0.005559615821441816
D460,-0.007846399544047996
D461,-0.006245827127834052
D462,0.008742273728621384
D463,0.0065501664151565355
D464,0.0009377817057220168
D465,0.003526389363348901
D466,-0.003938008189079725
D467,-0.009159775292897989
D468,0.003202250024335032
D469,-0.007043294596192617
D470,-0.003480781654876007
D471,0.0028459515661955806
D472,-0.004626805001497602
D473,-0.00610527408270809
D474,-0.009455927492034746
D475,-0.003852018432968128
D476,0.0025448883303185385
D477,-0.003258221281395624
D478,-0.00812975538264721
D479,-0.014625915251551935
D480,-0.004259059090037423
D481,-0.015806400654403273
D482,-0.015219569311337092
D483,-0.012280876216661615
D484,-0.014059746028225018
D485,-0.010490106212559708
D486,-0.008811837262934923
D487,-0.004383051948915513
D488,-0.004279757341397914
D489,-0.0007501254951642126
D490,-0.0016403631373853084
D491,-0.018429867062866194
D492,-0.010575995128986791
D493,-0.015769760946508594
D494,-0.014814711707921327
D495,-0.0117199522331931
D496,-0.021643512089541423
D497,-0.010858605405651128
D498,-0.01066613552340794
D499,-0.010717852411601603
D500,-0.008823524861710688
D501,-0.017566455029204765
D502,-0.015325623772041667
D503,-0.014456154216546368
D504,-0.010052939353647377
D505,-0.01011926540566117
D506,-0.013034262842552425
D507,-0.04415565875685733
D508,-0.007804351919313002
D509,-0.014195334938705005
D510,-0.019510100197330148
D511,-0.007564632556003812
D512,-0.011602332745883084
D513,-0.02270574260169676
D514,-0.017404694451788636
D515,-0.0274638256138792
D516,-0.044324702960801245
D517,-0.039115789872199845
D518,-0.03347470038218384
D519,-0.044493747164745155
D520,-0.010929969084458776
D521,-0.02758465790742482
D522,-0.011966508163903135
D523,-0.024086989165312378
D524,-0.021646088275789913
D525,-0.02571508271524767
D526,-0.007708793027791146
D527,-0.02507037373991948
D528,-0.007953362662701127
D529,-0.01698234352606161
D530,-0.005008921634137371
D531,-0.03625630933436122
D532,-0.018355169020688872
D533,-0.027945963427625738
D534,-0.024188862283803254
D535,-0.01722929925545723
D536,-0.017072200797779873
D537,-0.023823343865023765
D538,-0.005670918491535062
D539,-0.015070886425227966
D540,-0.0019518477558205084
D541,-0.016907435466048008
D542,-0.0034178596877155543
D543,-0.020816374732079812
D544,-0.015657189412462715
D545,-0.01623422248831553
D546,-0.0323293271715019
D547,-0.024305094081132683
D548,-0.01103314369139164
D549,-0.00612087174608445
D550,-0.009069184898224057
D551,-0.050291185923243074
D552,-0.006865797415409221
D553,-0.012094776288020193
D554,-0.011823144148040043
D555,-0.011787628907942216
D556,-0.010746541629278156
D557,-0.011282151722006506
D558,-0.005196690920593894
D559,-0.010229317048072673
D560,-0.010024465437616845
D561,-0.004430058936771048
D562,-0.010735414599026358
D563,-0.032140992856537036
D564,-0.016391906942643385
D565,-0.017914853284096807
D566,-0.036408583492759834
D567,-0.031564146375579104
D568,-0.010223040071760467
D569,-0.011394273834075493
D570,-0.01586009889125988
D571,-0.014412782120873319
D572,-0.02806246683503779
D573,-0.020586610496224435
D574,-0.019047732070296537
D575,-0.010727294833088074
D576,-0.00643949214590156
D577,-0.011672668987554573
D578,-0.013228468385997841
D579,-0.008774177592189686
D580,-0.052530412396518546
D581,-0.007210792780160485
D582,-0.020927436812113343
