Term,TF1,TF2,TF3,TF4,TF5,TF6,TFN1,TFN2,TFN3,TFN4,TFN5,TFN6,DF,IDF,TFIDF1,TFIDF2,TFIDF3,TFIDF4,TFIDF5,TFIDF6,TFIDFN1,TFIDFN2,TFIDFN3,TFIDFN4,TFIDFN5,TFIDFN6
akhir,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
akhiratamiensukses,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
aku,0,0,2,1,1,0,0.0,0.0,0.0333,0.0357,0.0286,0.0,3,1.5596,0.0,0.0,0.0519,0.0557,0.0446,0.0,0.0,0.0,0.1733,0.1435,0.1091,0.0
allah,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
apa,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0571,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.1286,0.0,0.0,0.0,0.0,0.0,0.3145,0.0
asalamualaikumyasalam,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
avoskin,2,0,0,0,0,0,0.0465,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.1048,0.0,0.0,0.0,0.0,0.0,0.2302,0.0,0.0,0.0,0.0,0.0
awat,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
bagus,0,1,0,0,1,0,0.0,0.0213,0.0,0.0,0.0286,0.0,2,1.8473,0.0,0.0393,0.0,0.0,0.0528,0.0,0.0,0.111,0.0,0.0,0.1291,0.0
banget,0,1,1,1,0,0,0.0,0.0213,0.0167,0.0357,0.0,0.0,3,1.5596,0.0,0.0332,0.026,0.0557,0.0,0.0,0.0,0.0938,0.0868,0.1435,0.0,0.0
base,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
batas,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
