Terms,TF,TFIDFN
aamiin,0,0.0
abi,0,0.0
abistu,0,0.0
about,0,0.0
abu,0,0.0
abuan,0,0.0
abungakak,0,0.0
ac,0,0.0
acak,0,0.0
acakan,0,0.0
acara,0,0.0
accutan,0,0.0
acid,0,0.0
acn,0,0.0
acon,0,0.0
activ,0,0.0
ad,0,0.0
adem,0,0.0
adik,0,0.0
aduh,0,0.0
aer,0,0.0
afford,0,0.0
afterwash,0,0.0
again,0,0.0
age,0,0.0
ahahahhahaha,0,0.0
air,0,0.0
ajja,0,0.0
akal,0,0.0
akali,0,0.0
akhlaknya,0,0.0
akrab,0,0.0
aktif,0,0.0
aktifita,0,0.0
aku,0,0.0
akun,0,0.0
ala,0,0.0
alam,0,0.0
alas,0,0.0
alasan,0,0.0
alcohol,0,0.0
alcoholnya,0,0.0
alergi,0,0.0
alergisensitif,0,0.0
alhamdulilah,0,0.0
alhamdulillah,0,0.0
ali,0,0.0
alisnya,0,0.0
all,0,0.0
alo,0,0.0
alpha,0,0.0
alway,0,0.0
amandok,0,0.0
amankah,0,0.0
ambil,0,0.0
amn,0,0.0
ampuh,0,0.0
ampun,0,0.0
an,0,0.0
anak,0,0.0
anaknya,0,0.0
and,0,0.0
andalan,0,0.0
andalanku,0,0.0
aneh,0,0.0
angel,0,0.0
anggun,0,0.0
angin,0,0.0
anim,0,0.0
anteng,0,0.0
anti,0,0.0
anw,0,0.0
anyway,0,0.0
anzora,0,0.0
apa,0,0.0
apaaa,0,0.0
apaansi,0,0.0
apahh,0,0.0
apakh,0,0.0
apasaya,0,0.0
apasi,0,0.0
apaygcocokdan,0,0.0
aplgi,0,0.0
aplikasi,0,0.0
aplikasiin,0,0.0
aplikasikan,0,0.0
approv,0,0.0
apu,0,0.0
aqua,0,0.0
arbutin,0,0.0
area,0,0.0
areng,0,0.0
aroma,0,0.0
aromanya,0,0.0
artinyaa,0,0.0
artist,0,0.0
as,0,0.0
asa,0,0.0
asal,0,0.0
asalamualaikumdok,0,0.0
asia,0,0.0
asik,0,0.0
asistennya,0,0.0
asli,0,0.0
aslik,0,0.0
aslinya,0,0.0
assalammulaikum,0,0.0
assalamualaikum,0,0.0
assalamuikum,0,0.0
at,0,0.0
atas,0,0.0
athenagroupsmitrajkta,0,0.0
atou,0,0.0
atuh,0,0.0
atw,0,0.0
aura,0,0.0
auranya,0,0.0
auto,0,0.0
avoskin,0,0.0
awa,0,0.0
awar,0,0.0
awat,0,0.0
awet,0,0.0
awlan,0,0.0
ayu,0,0.0
azzarin,0,0.0
azzura,0,0.0
babi,0,0.0
bad,0,0.0
badanku,0,0.0
bagi,0,0.0
bagiku,0,0.0
bagisetiap,0,0.0
bagusan,0,0.0
bagusni,0,0.0
bagusnya,0,0.0
bahannya,0,0.0
bahas,0,0.0
bahasan,0,0.0
bahaya,0,0.0
baik,0,0.0
baiknya,0,0.0
bala,0,0.0
balapan,0,0.0
