Terms,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,TFNorm,DF,IDF,TFIDF
abis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
aja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
akhir,0.2412815105513634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412815105513634,1,2.7047480922384253,0.6526057053562057
aku,0.15954228591701183,0.0,0.0,0.0,0.0,0.0,0.0,0.1897300905541302,0.11698012021366166,0.28210637504900604,0.7483588717338097,4,1.7884573603642702,1.3384079323462328
alhamdulillah,0.2412815105513634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412815105513634,1,2.7047480922384253,0.6526057053562057
aneh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
asa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
bagus,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
bahkan,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
banget,0.0,0.0,0.24121682702239247,0.0,0.3642958904763434,0.0,0.0,0.0,0.0,0.0,0.6055127174987359,2,2.2992829841302607,1.3922450880193171
banyak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
bau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
beberapa,0.2412815105513634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412815105513634,1,2.7047480922384253,0.6526057053562057
beli,0.20511132744227925,0.0,0.0,0.0,0.0,0.0,0.0,0.12196074070777727,0.0,0.0,0.3270720681500565,2,2.2992829841302607,0.752031240881718
beneran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
besar,0.0,0.0,0.0,0.0,0.0,0.0,0.3035758798917438,0.0,0.0,0.0,0.3035758798917438,1,2.7047480922384253,0.8210962819867953
bgt,0.0,0.0,0.0,0.5607136322130087,0.0,0.0,0.0,0.0,0.0,0.0,0.5607136322130086,1,2.7047480922384253,1.5165891270202134
bikin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
