,Weights,Bias
Feature1,0.0050916740792836075,1.0408340855860843e-16
Feature2,-0.0013160349336965283,1.0408340855860843e-16
Feature3,0.0027372870544660425,1.0408340855860843e-16
Feature4,-0.024021369605802895,1.0408340855860843e-16
Feature5,0.001565157225420272,1.0408340855860843e-16
Feature6,0.0013634993543646583,1.0408340855860843e-16
Feature7,-0.001416123165144656,1.0408340855860843e-16
Feature8,-0.0013246626760227771,1.0408340855860843e-16
Feature9,0.0006943993043389851,1.0408340855860843e-16
Feature10,-0.006564399609363535,1.0408340855860843e-16
Feature11,-0.014128768513019113,1.0408340855860843e-16
Feature12,-0.003017947803386617,1.0408340855860843e-16
Feature13,0.0011244723898878194,1.0408340855860843e-16
Feature14,-0.0015050805481460236,1.0408340855860843e-16
Feature15,-0.003757568944727904,1.0408340855860843e-16
Feature16,0.004176480134615871,1.0408340855860843e-16
Feature17,-0.012277468171733311,1.0408340855860843e-16
Feature18,0.007256580810725344,1.0408340855860843e-16
Feature19,0.002368015471791576,1.0408340855860843e-16
Feature20,-0.0016252668409754859,1.0408340855860843e-16
Feature21,-0.00043097792109066634,1.0408340855860843e-16
Feature22,0.005447223120884923,1.0408340855860843e-16
Feature23,0.0014316314731870282,1.0408340855860843e-16
Feature24,0.00119425189455512,1.0408340855860843e-16
Feature25,0.00147116591182928,1.0408340855860843e-16
Feature26,0.0009323564676629245,1.0408340855860843e-16
Feature27,0.0010739863408529113,1.0408340855860843e-16
Feature28,0.0049580078249889465,1.0408340855860843e-16
Feature29,0.002517479925287628,1.0408340855860843e-16
Feature30,0.0016759717115803908,1.0408340855860843e-16
Feature31,0.002194406976731739,1.0408340855860843e-16
Feature32,-0.008084439801470888,1.0408340855860843e-16
Feature33,-0.005463829637464592,1.0408340855860843e-16
Feature34,-0.006794293667247891,1.0408340855860843e-16
Feature35,-0.004545639041652523,1.0408340855860843e-16
Feature36,0.0010420143309845893,1.0408340855860843e-16
Feature37,0.0003968705779834233,1.0408340855860843e-16
Feature38,4.276476106968664e-05,1.0408340855860843e-16
Feature39,-0.0016242918758899196,1.0408340855860843e-16
Feature40,0.002120651130130372,1.0408340855860843e-16
Feature41,-0.014209853853487352,1.0408340855860843e-16
Feature42,-0.005394617220345319,1.0408340855860843e-16
Feature43,-0.009818144579112857,1.0408340855860843e-16
Feature44,0.004828816330659518,1.0408340855860843e-16
Feature45,0.014942849238698933,1.0408340855860843e-16
Feature46,-0.005564546853145012,1.0408340855860843e-16
Feature47,0.0013485347640217066,1.0408340855860843e-16
Feature48,0.0011244723898878194,1.0408340855860843e-16
Feature49,0.0012848137964889526,1.0408340855860843e-16
Feature50,-0.0904720996885644,1.0408340855860843e-16
Feature51,0.003190635165035663,1.0408340855860843e-16
Feature52,-0.0004367051187253227,1.0408340855860843e-16
Feature53,0.001839580768399015,1.0408340855860843e-16
Feature54,-0.004032127064077929,1.0408340855860843e-16
