comment,label
Suka banget kaa.. pokonyaa jadi pendukung setiaaa kamu?? jatuh cintaaaaa banget sama kamu dan semua bahasan makeup kamusehat selalu ka.. god bless u,positif
idola ane. ??????,positif
"Rambutnya kak harus potong lagi tuh udah gondrong !!!Love you as always ???? i dont even wear a make up but ill stay on your channel ??????????",positif
Teuteup yah shade nya yang kalau aku pakai bakalan abu2 meskiii nampol di mukanya gorjeuuuusss ??. Jangan bosan untuk kritik make-up company yah kak.,positif
seru banget review lu kak .. loveyou ??,positif
Kk review semua produk focallure dong dari primer foundie bedak pokokny semua deh heheh moga lu denger dan gua akan selalu nunggu vidio itu????,positif
"*nonton gapake earphone* Mama: itu siapa sih ka yg ceramah? Hahahahahahahaaah",positif
dan gue selalu nonton ampe akhir karna gue suka kebacotan lo. LUV DAH POKONYA ????,positif
Yeeey akhirnya.. ????,positif
"Gua ngakak bgt pas lu ngomong ""pikpiw"" anjir HAHA APAANSI NIH APAAN",positif
Wowo ku suka ku suka ??,positif
I love your honest opinion ??,positif
Yaa allah...masih bagus biarpun udh ber jam2??????,positif
Aku uda lama pake ini gapernah ganti2 bagus banget cuman klo berkeringan dia luntur sedikit biasanya dbagian kumis gtu cuman ga masalah pas diset pake bedak uda oke kok anti luntur?,positif
Suka kak apa adanya YouTuber,positif
"Satu satunya Youtuber atau selebgram yang aku percaya buat review produk; TASYA FARASYA??
Alasannya cuma satu; jujur. Nggak akan kasih yang kw atau kalau nggak bagus ya bilang nggak bagus.",positif
Binggung semua di bilang bagus jadi pake yg mana sebenarnya?,positif
Yang cinta produk indonesia mana suaranyaaa,positif
Walaupun ga makeup tetep cantik natural??,positif
Entah kenapa klo lagi badmood mumet stress bnyk msalah capek buka youtube nonton kak tasya my mood tu langsung stabil dan lebih tenang. Thankyou kak tasya??,positif
Bener banget ka tasya kulitnya lebih cerahbgt dari tadi salfok kesitu mulu ??,positif
Kalo umurnya masih 14 thn gitu emang bisa ka pake serum?,positif
"kalau ada yang bilang ""makeup ori mahal"" thats a big bullshit coi. jadi emina wardah pixy viva mizzu itu apa?
dah jelas ori bagus dan cocok dikantong pelajar. intinya dear tasya farasya terimakasih sudah mau speak up aku padamu.",positif
suka ama Tasya yg emang rekomendasikan produk yg benar2 aman dan dia pake jg. beda ama si Tasyi yg pake HELWA cream abal2,positif
Rambut ka tasya lebih bagusan yg kaya sekarang dari pada yg kemaren2 ni yg kriting ya,positif
Oksidasi cushionnya parah gak?,negatif
yg cushion packaging biru itu selain shades nya sedikit juga bikin kulit ku gatal gatal dan ga nempel ke kulit pokok nya traumatis,negatif
Di muka saya ngk cocok karna blm BPOM,negatif
Kamu mau yg waterproof maskaranya packing nya yg warna pink itu bgs  tpi klod i pake aku lama� tu serasa gatel di kulit,negatif
Menurutku lameila mascaranya kurang banget. Aku bli brpa jenis mascara lameila hasilnya ttp sama ga bkin lentik  tp malah lama keringnya luntur . Kalo d hapus perih bgt.,negatif
Aku pernh beli lameila eyeshadow langsung ku buang pls disitu pas tau klo dia ga BPOM.. lngsung terbuangg,negatif
Dear me di aku knp selalu bikin bintik2 kaya ada airnya gitu ya di bibir gatel bgt lagi:(,negatif
"Nyoba ss azarine yg ijo sama physical dua""nya sama"" matte sampe bikin kulit ketarik ntahlah mungkin aku yg salah makenya tapi bener"" bikin kering sampe berasa ketarik",negatif
Annesa yang putih itu udah putih unguuuu terus kalo keringetan LUNTURRRRR hixxx,negatif
Labore emg mahal bgt sihh ?? dompet gw nangis,negatif
Kualitas videonya bikin sakit mata kayak keterangan ato gmna  kurang real warnanya,negatif
jujur gue gksuka bgt banyak BACOT:),negatif
Banyak bacot .,negatif
"Dih cempreng bgt seh teriak"" melulu",negatif
Wajah asli nya jelek bngt..,negatif
Kak indira tambah gemuk,negatif
Bacoott..,negatif
Gendudd amaad sekaarang?? indira,negatif
Ancur mukanya jerawatankarena sering ganti2 make up,negatif
Gendutan kk,negatif
Jangan triak2 Napa,negatif
Aku pke skintific langsung muncul jerawat mendem gitu 3 hari pake jerawat yang muncul 3 juga??,negatif
Kebanyakan ngomong sama complen terus kalo gak mau beli gak ush jelek jelekin Nivea mizzu sama tasya farasya,negatif
Emina langsung timbul gede gede jerawat gua,negatif
Gue malah gakuat pake emina soalnya baunya kurang suka plus kerasa bgt pake sunscreen jd ganjel muka rasanya wkwkwk plus gue anaknya cepet keringetan sekali kena panas jd makin ngucur dah tu,negatif
