comment,label
Best skincare hair produk make up body produk 2019 donk ??,positif
Anjay kulaitas videonya mantul,positif
cantik amat sih KA..aku sbg cw aja liatya seneng gtu??,positif
Tasya farasya cantikkk poolll,positif
Klo yg make over kena air pas wudhu bakalan luntur ga?atau ngegeser?,positif
Aku sll pake bedak makeover anak aku malah skrng jg ikutan pake makeover tp minta bliin sm emak nya mulu kaga mo kelur duit ??,positif
Sumpah gk fokus kaaaaa... Fokus ke muka kaka gk pake apa apa aja cakep pas dandan lah berbi heyyy ??,positif
Kalau Aku sih tetap milih make over karna aku sdh membutikan make over memang bagus,positif
Bibirnya kk cantik boleh minta tipsnya ??,positif
Aku suka makeover,positif
Maskaranya cantik banget kak,positif
Bener bgt ak lg labil pilih diantara 2 ini dan akhrnya ak CO make over sesuai kondisi kulit mukaku,positif
You look like a princess who came straight out of a Disney movie. OMG,positif
Bagus bgt reviewnya,positif
Apa cuma aku yg suka banget ka tasya no make up make up gini. Cantik bangett ????,positif
Pas bgt ada vidio ini  lg bingung pilih 2 produk ini,positif
Luxcrime sih mantul. Makin lama makan cakep. Natural aja gitu cakepnya sampe ngira ih hari ini gue cakep bgt kenapa yaaa lah lupa dari pagi bedakan pake luxcrime,positif
Twc Make over favorit aku banget pokonya  lembut banget udah gitu covaragenya mantap ??,positif
Queen of Beauty vlogger. Pokoknya kalo mau beli makeup harus nonton YouTube nya Ka tasya dan aku pun pasti percaya sama hasil review nya Ka tasya yang akurat no perez perez pokoknya.,positif
makeover team dong luvs bangat ?,positif
Kak lipstiknha apa kak? Cakep amat,positif
Tetap Cinta Banget sama Make Over Powerstay Matte Powder Foundation ?? gimana enggak powder nya tahan lama banget dan oil control jadi buat kulit berminyak bisa tahan seharian.buat temen- temen kulitnya oily buruan cobain Produck make over ini,positif
Paling suka punya Make Over powder foundation ??,positif
"Teamnya makeover????????
Powerstay Matte powder foundation ini cocok banget untuk kulit yang cenderung berminyak??? teksturnya halus banget meski tanpa foundation??",positif
Akuu team makeover  bagus bgt powerstay matte powder foundation nya  aweet tahan lama di muka aku yang super oily ????,positif
bener bgt kata kak tasya... powerstay matte powder foundation.. testur nya powder dan lebih bagus nya buat kulit berminyak.. jdi hasilnya lebih tahan lama.. ????,positif
Luxcrime two way cake vs Pixy make it glow Two way cake bagusan mana kak? Review dong kak tasya,positif
Oke fix makeover aja,positif
Kalo aku lebih suka yg make over soalnya lebih coverage dan harga nya lebih terjangkau ?????? kualitas nya juga ga kalah jauh ka tasya ??,positif
"Team make over?? 
salah satu produk lokal ter luv yg aku punya! buat ukuran powder foundation ini tuh all in banget butiran partikelnya halus nyatu sama kulit dan tahan lama hingga 10 jam dan memiliki spf 15 PA++",positif
Make over emang the best??,positif
Cantik bgt... ??,positif
Cntik bngt kk,positif
"bedaknya bagus banget berasa gak pake bedak karena ringan banget! dipake dari pagi sampe sore makin bagus. tapi aku salah milih shade aku jual lagi nih varian ""CUSTARD"" baru dipake sekali. harga 100k bisa nego. masih baru banget cuman dipake sekali. yang minat bisa hubungi aku di WA: 085158708119",positif
Cantik banget kak Tasya??????,positif
Suka banget sama bulu mata kak tasya ??,positif
Berapa ya...?,positif
Mbk tasya udh cantik bnget di apa in pun ya ttp cuantik..??,positif
Saking cantiknya gak ada beda bedaknya luntur sama engga.,positif
Waw Kaka kulit nya bagus bgt pake sabun mandi apa dan pake body lotion apa? Tpi aku juga suka bgt sih sama riview kk yg inibikin video bodycare rutin dong ka atau nggak buat video perawat rambut ka tasya,positif
Subhanaloh ni wanita cantik bgt,positif
Sumpah kak tasya makin cantik aja ??,positif
Asalamualaikumyasalam emuah.cantiknya tasya farasya kebangetan.??semoga sehat selalusakinah mawadah warokhmah dunia sampai akhirat.amien.sukses selalu dan selalu dalam lindungan allah swt.amien.emuah.wasalam.,positif
Ya ampun muka belum pake apa apa aja bagus cantik bgt ??,positif
Aku lebih suka makeover karna aku pakee??,positif
Make Over the best udh  punya setahun lebih powder nya kl Luxcrime baru mau beli dan coba ??,positif
mksh reviewnyaaku kykny cocok sm make over coz wjhku oily jd sangat suka make over??,positif
udah punya debay masih cantik masya allah fans banget kakak,positif
Ka tasya paling mengerti emang buat percewean????????thxxx,positif
Bagus semua suka semua....,positif
Cantik banget sihh????,positif
Halo cantik  sdh jd ibu tambah cantik .,positif
Cantiknya ????,positif
Aah bulumatanya kak tasya... ???? cantiiiikk beet,positif
Bedakan aja cantik...,positif
Bening banget anjir ??,positif
Cantiks rambutnyaa,positif
Cantiknya tu loh! Subhanallahh,positif
Cantik banget oi,positif
Cantik bgt kak,positif
Ya Allah knp cakeep bgt ini orang.. ??,positif
ya allah ka tasya makin cantik aza gemes,positif
Berarti mana yang bagusan kak ?,positif
Cantik parahhhhh woy!,positif
Luxcream emng bagus bgt si sumpah,positif
gimana ya caranya mau peluk kak tasya? cantik banget ????,positif
lebih terang,positif
MakeOver,positif
Kak Tasyaa rambutnya gitu aja dong :') suka bangeeet,positif
Cantik banget....,positif
Salfok ke lipstiknya bagusss bgtt seger cakep warnanya. Klihatan fresh sehat gtu. Pake apa ya?,positif
Make over lebih bagus kelihatan lebih cerah,positif
Kalo dasar nya udah cantik mah pake apapun juga cantik ????????,positif
lebih terang,positif
Cantik banget sih,positif
Bagus banget ch ka rambutnya cantik buanget,positif
Bagus yg luxcrime,positif
"Bener ini skincare TERBAIK yg pernah aku pake .. 2 minggu keliatan banget hasilnya bekas jerawat terutama benerï¿½ pudar sejelas itu.. pernah ganti skincare setahun terus baru seminggu lalu balik lagi ke ini dan teman aku bilang ""kok muka kamu cerahan cerah banget deh beda""..
Benerï¿½ secinta itu sama Crystallure ???",positif
Aku udah pake 1 bulan..crystallure beneran enak kulit jd bersih glowing cerah dan sangat sopan di kulit..?? padahal kulit aku yg super sensitif. Sebelumnya berkaliï¿½ ganti produk selalu saja kulit nya gatal  bruntus & perih..pdhal konsul dulu sm dokter. Tp sama chrytallure ini aku lngsung cocok. Kl mau nyobain dulu yg kecilnya ada travel kit isinya 3 ada 2 mcm travel kit ada yg isi booster serum & rich night cream . Paket travel kit lainnya isi booster day cream + cleanser gel. Serius enak banget deh....??,positif
