,DecisionValue
D1,0.39132394102479845
D2,0.39330415033844435
D3,0.41089611489850775
D4,0.4005772691095036
D5,0.39789828452255205
D6,0.39999999999997227
D7,0.39610425448162256
D8,0.3978130334680945
D9,0.40285956485348373
D10,0.39012235256585054
D11,0.40056962477643454
D12,0.39871954899815726
D13,0.3820303418842032
D14,0.408660571064
D15,0.39725706540827244
D16,0.4102557352754453
D17,0.4008497226166972
D18,0.44306879073414285
D19,0.4012810415241384
D20,0.41622881122816763
D21,0.409483937348236
D22,0.397114265651521
D23,0.413518429661164
D24,0.42617869636601663
D25,0.395439903237168
D26,0.3982306691187626
D27,0.4056123380792287
D28,0.401576288026695
D29,0.3750270507832498
D30,0.39741019043499265
D31,0.3963764760578084
D32,0.3967174696930215
D33,0.3956541322695074
D34,0.39823870777604986
D35,0.4056251631232713
D36,0.3984972251865911
D37,0.3942677292593366
D38,0.4011891923083842
D39,0.3869683158060904
D40,0.4094121708344771
D41,0.40253776944299496
D42,0.39198374928321345
D43,0.3919211995728451
D44,0.3952346688294938
D45,0.4027045114144993
D46,0.3985766565497847
D47,0.39558240339635325
D48,0.40122659449423503
D49,0.4252493490154372
D50,0.39405876287699737
D51,0.409626118743985
D52,0.39851672776816405
D53,0.40025069271353775
D54,0.40184429810442446
D55,0.4012653521308532
D56,0.3947112889667581
D57,0.4329170497916521
D58,0.399246917210571
D59,0.3930084212928291
D60,0.40728687002899805
D61,0.4003530458966105
D62,0.3932057317089886
D63,0.43769699839026655
D64,0.41411125238998103
D65,0.4049973017083912
D66,0.4152289324744947
D67,0.40069232303319113
D68,0.39225784002130565
D69,0.40383934328466803
D70,0.3981650578747544
D71,0.40041187445483767
D72,0.4058313958478945
D73,0.3921010621120528
D74,0.40615433800353395
D75,0.39366958016801606
D76,0.3997733017286318
D77,0.3993286003558046
D78,0.39271680237581824
D79,0.39535997097539327
D80,0.39999999999997227
D81,0.41289331939565826
D82,0.40728334830593554
D83,0.4060339603586852
D84,0.3956371294679396
D85,0.3950412062632543
D86,0.3937842164594884
D87,0.41425473155822123
D88,0.3931491363819298
D89,0.39785720704143746
D90,0.3999018130556186
D91,0.4047776833891953
D92,0.39583769149505554
D93,0.38734358794509355
D94,0.41060187985834523
D95,0.3938763945773236
D96,0.4027867501901538
D97,0.399189490781455
D98,0.3983289056437512
D99,0.40534366459395016
D100,0.39343555374906114
D101,0.39452709740052133
D102,0.39600930668427436
D103,0.4006917800799297
D104,0.3995869680791387
D105,0.41655378088474476
D106,0.3876361396590709
D107,0.39999999999997227
D108,0.3968108797193718
D109,0.3946853905391385
D110,0.4049284141505531
D111,0.40819222679421363
D112,0.398125325106248
D113,0.4043616737384679
D114,0.3840516778472413
D115,0.4134324288834366
D116,0.40591096300292756
D117,0.3764293608376727
D118,0.4070084290469921
D119,0.4050226361576018
D120,0.39498653926470434
D121,0.39389451569620315
D122,0.39717385327298393
D123,0.401102399133011
D124,0.3925395386375071
D125,0.3978453554238338
D126,0.3985766565497847
D127,0.4271232938587448
D128,0.4409182285053412
D129,0.39215576459059215
D130,0.39631263630076724
D131,0.3944907977698015
D132,0.39816788998696157
D133,0.3975087555322013
D134,0.3941822558782037
D135,0.39702949403800325
D136,0.39701368397464193
D137,0.4333727439749983
D138,0.4015030503213655
D139,0.4170404674655323
D140,0.3991235807710046
D141,0.40016241147542003
D142,0.3931911326262058
D143,0.38774636943879726
D144,0.41386088301590823
D145,0.39959389088876013
D146,0.4122308074404968
D147,0.4007307849252552
D148,0.4050212088691134
D149,0.4120229752807198
D150,0.4037317721846486
D151,0.4331108706848058
D152,0.4086512473232879
D153,0.39930178331978344
D154,0.37285877245061844
D155,0.3927873914630917
D156,0.39011704971992706
D157,0.419559700088653
D158,0.4260201261895764
D159,0.3953169373319194
D160,0.3959176418892909
D161,0.39969507602505044
D162,0.3979723318824902
D163,0.39265045551718314
D164,0.39629441810982546
D165,0.3948645938316069
D166,0.40210534446535734
D167,0.40619182478462756
D168,0.3909152351280641
D169,0.41848560175977534
D170,0.41442488940429384
D171,0.39357549543137077
D172,0.3968975585071203
D173,0.3964779397550485
D174,0.3997631508519817
D175,0.39324246682422137
D176,0.3996754901639531
D177,0.403377163552365
D178,0.37776999455493554
D179,0.39541267565229615
D180,0.39936670070945873
D181,0.39559721655366464
D182,0.394767889381277
D183,0.40095723482883744
D184,0.4273496977015574
D185,0.3922002248186397
D186,0.39841138922574976
D187,0.3999324284574417
D188,0.4065510986435746
D189,0.39616806554292155
D190,0.41309841062982966
D191,0.39616806554292155
D192,0.3925382218771831
D193,0.40610647012666656
D194,0.401011746305401
D195,0.41171246080648494
D196,0.3962548132633568
D197,0.38958998181733545
D198,0.40050797420735584
D199,0.3982590367452606
D200,0.4069109809673327
