Terms,TFD1,TFD2,TFND1,TFND2,DF,IDF,TFIDF_D1,TFIDF_D2
aku,2.0,1.0,0.125,0.1,2,1.0,0.125,0.1
bagi,0.0,1.0,0.0,0.1,1,1.405,0.0,0.141
banyak,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
bau,0.0,1.0,0.0,0.1,1,1.405,0.0,0.141
beauty,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
beli,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
blogger,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
cuma,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
gatel,0.0,1.0,0.0,0.1,1,1.405,0.0,0.141
hasil,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
hidung,0.0,1.0,0.0,0.1,1,1.405,0.0,0.141
ka,2.0,0.0,0.125,0.0,1,1.405,0.176,0.0
kulit,0.0,1.0,0.0,0.1,1,1.405,0.0,0.141
luvv,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
nyengat,0.0,1.0,0.0,0.1,1,1.405,0.0,0.141
pake,0.0,1.0,0.0,0.1,1,1.405,0.0,0.141
percaya,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
pernah,0.0,1.0,0.0,0.1,1,1.405,0.0,0.141
produk,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
review,1.0,0.0,0.062,0.0,1,1.405,0.088,0.0
tasya,2.0,0.0,0.125,0.0,1,1.405,0.176,0.0
trus,0.0,1.0,0.0,0.1,1,1.405,0.0,0.141
