Terms,TF,TFIDFN
akhir,0,0.0
akhiratamiensukses,0,0.0
aku,0,0.0
allah,0,0.0
apa,0,0.0
asalamualaikumyasalam,0,0.0
avoskin,0,0.0
awat,0,0.0
bagus,0,0.0
banget,0,0.0
base,0,0.0
batas,0,0.0
bb,0,0.0
bedak,0,0.0
beli,0,0.0
bgt,0,0.0
biar,0,0.0
bibir,0,0.0
bikin,0,0.0
bikinin,0,0.0
biru,0,0.0
body,0,0.0
bodycare,0,0.0
botol,0,0.0
breakout,0,0.0
buang,0,0.0
buat,0,0.0
budget,0,0.0
bukn,0,0.0
bulan,0,0.0
butir,0,0.0
cica,0,0.0
coba,0,0.0
cocok,0,0.0
colorfit,0,0.0
crack,0,0.0
cream,0,0.0
dimasukin,0,0.0
doang,0,0.0
dong,0,0.0
duhhh,0,0.0
dulu,0,0.0
dunia,0,0.0
eh,0,0.0
eldridge,0,0.0
emg,0,0.0
emuahcantiknya,0,0.0
enak,0,0.0
entah,0,0.0
everyday,0,0.0
farasya,1,0.4626247911559474
foundation,0,0.0
ga,0,0.0
gampang,0,0.0
gmn,0,0.0
goda,0,0.0
gue,0,0.0
halus,0,0.0
harga,0,0.0
hasil,0,0.0
henti,0,0.0
hingga,0,0.0
inget,0,0.0
inibikin,0,0.0
instaperfect,0,0.0
jam,0,0.0
jdi,0,0.0
jerawat,0,0.0
jrang,0,0.0
ka,0,0.0
kak,0,0.0
kaka,0,0.0
kakkk,0,0.0
kalau,0,0.0
kalo,0,0.0
kamu,0,0.0
kayak,0,0.0
kebangetansemoga,1,0.4626247911559474
kesel,0,0.0
kira,0,0.0
kk,0,0.0
klo,0,0.0
kok,0,0.0
kualitas,0,0.0
kulit,0,0.0
lama,0,0.0
lebih,0,0.0
lg,0,0.0
lightening,0,0.0
lindung,0,0.0
lip,0,0.0
lipstik,0,0.0
lisa,0,0.0
lokal,0,0.0
lotion,0,0.0
luv,0,0.0
makeupnya,0,0.0
malah,0,0.0
mana,0,0.0
mandi,0,0.0
mawadah,0,0.0
merk,0,0.0
milik,0,0.0
muahalll,0,0.0
mugwort,0,0.0
muka,0,0.0
nacific,0,0.0
nempel,0,0.0
ngelopek,0,0.0
ngilang,0,0.0
ngomongin,0,0.0
nya,0,0.0
nyata,0,0.0
nyatu,0,0.0
oily,0,0.0
overprice,0,0.0
pa,0,0.0
pake,0,0.0
palagi,0,0.0
parah,0,0.0
parahhhh,0,0.0
partikel,0,0.0
pas,0,0.0
patut,0,0.0
pdhl,0,0.0
pecah,0,0.0
pegang,0,0.0
pk,0,0.0
pke,0,0.0
pokok,0,0.0
powder,0,0.0
produk,0,0.0
punya,0,0.0
purging,0,0.0
rambut,0,0.0
rendah,0,0.0
review,0,0.0
riview,0,0.0
rutin,0,0.0
sabun,0,0.0
salah,0,0.0
sama,0,0.0
satu,0,0.0
sbg,0,0.0
sehat,1,0.4626247911559474
selalu,1,0.4626247911559474
selalusakinah,0,0.0
seri,0,0.0
sih,0,0.0
spf,0,0.0
stop,0,0.0
suka,0,0.0
sumpah,0,0.0
susah,0,0.0
swtamienemuahwasalam,0,0.0
tahan,0,0.0
tasya,1,0.37935894668725584
tekstur,0,0.0
telah,0,0.0
ter,0,0.0
tiper,0,0.0
tp,0,0.0
tpi,0,0.0
trus,0,0.0
tuh,0,0.0
uda,0,0.0
ukur,0,0.0
video,0,0.0
waktu,0,0.0
wardah,0,0.0
warokhmah,0,0.0
waw,0,0.0
yg,0,0.0
